_id/$oid,word/word_cro,word/word_orig_lang,definition/definition_cro,definition/definition_orig_lang,type,example,orig_lang/0,type_word,gender,orig_lang/1
655247c76d3973e42ea5bbe3,lumbrela,ombrello,kišobran,kišobran,usvojenica,"Padala je kiša, a nisam imala lumbrelu sa sobom.",talijanski,imenica,ž,
655247c76d3973e42ea5bbe4,čak,çak,"dapače, štoviše; za isticanje onome što je rečeno","daleko, sve do",usvojenica,Bilo je čak dobro.,turski,čestica,NULL,
655247c76d3973e42ea5bbe5,rendgen,röntgen,aparat za snimanje pomoću rendgenskih zraka,Röntgen je prezime,eponim,Rendgen je pokazao da je slomio ključnu kost.,njemački,imenica,m,
655247c76d3973e42ea5bbe6,auto,automobile,motorno vozilo na dvije osovine i četiri kotača,pokretljiv vlastitom snagom,usvojenica,Auto se pokvarilo na autocesti.,francuski,imenica,m,
655247c76d3973e42ea5bbe7,tajfun,tai fung (台風),tropski ciklon s vjetrovima orkanske snage,"veliki vjetar, tropska oluja",egzotizam,Tajfun je pogodio otok Kjušu prošli tjedan.,kineski,imenica,m,
655247c76d3973e42ea5bbe8,klaun,clown,"zabavljač u cirkusu; pren. neodgovorna osoba, šaljivdžija","zabavljač u cirkusu; pren. šarlatan, budala",tuđica,Klaun Biboo zabavljao je djecu na Markovu rođendanu.,engleski,imenica,m,
655247c76d3973e42ea5bbe9,šjor,sior,gospodin,gospodin; način obraćanja prema višem staležu,tuđica,Šjor Šime otišao je na pučinu.,talijanski,imenica,m,mletački
655247c76d3973e42ea5bbea,frižider,frigidaire,hladnjak,hladan,tuđica,"Ne zaboravljaj zatvarati vrata frižidera, ne zatvaraju se sama od sebe!",francuski,imenica,m,
655247c76d3973e42ea5bbeb,pajdo,padas,"drug, sudrug, kompanjon",suputnik,usvojenica,"Nismo se dugo vidjeli, pajdo moj stari!",mađarski,imenica,m,perzijski
655247c76d3973e42ea5bbec,hajde,haydi,"za poticanje, daj!, idi!, ajde","požuri!, idi!",usvojenica,"Hajde brže, ne želim zakasniti.",turski,usklik,NULL,
